times;factors
0.0;0.998658
0.010569;0.99368
0.0208675;0.990806
0.0311709;0.988652
0.041468;0.982708
0.0520366;0.975142
0.0623397;0.969573
0.0726352;0.963435
0.0829408;0.953942
0.0935064;0.942098
0.103806;0.929918
0.11411;0.917625
0.124405;0.905663
0.134975;0.894094
0.145279;0.883699
0.155574;0.873853
0.165879;0.864203
0.176447;0.854669
0.186745;0.845661
0.197049;0.836946
0.207341;0.82851
0.217913;0.820242
0.228218;0.812762
0.238513;0.805455
0.248818;0.798183
0.259381;0.790816
0.269685;0.783897
0.27999;0.777521
0.290281;0.771723
0.300853;0.766378
0.311155;0.761652
0.321455;0.757423
0.331756;0.753894
0.342324;0.751228
0.352622;0.75
0.362929;0.750922
0.373221;0.754535
0.38379;0.758276
0.394094;0.760131
0.404392;0.762066
0.414696;0.764655
0.425263;0.767485
0.43556;0.770818
0.445864;0.775583
0.456158;0.782284
0.46673;0.791902
0.477033;0.80536
0.48733;0.822792
0.497635;0.842651
0.508206;0.863824
0.518503;0.883841
0.528804;0.903497
0.539097;0.921837
0.549669;0.936986
0.559973;0.947704
0.570269;0.95417
0.580573;0.955691
0.591143;0.953129
0.601446;0.948823
0.611743;0.94477
0.622036;0.942447
0.632608;0.941763
0.642911;0.942081
0.653209;0.942619
0.663508;0.942807
0.674083;0.942515
0.684453;0.941749
0.694688;0.94076
0.704977;0.939985
0.715547;0.939566
0.72585;0.939627
0.736148;0.940079
0.746452;0.941025
0.757022;0.942271
0.767317;0.943257
0.77762;0.944305
0.78791;0.9453
0.798487;0.946157
0.808789;0.946827
0.819086;0.947232
0.829389;0.94737
0.839965;0.947222
0.850255;0.946865
0.860559;0.946392
0.870855;0.945862
0.881427;0.945388
0.891729;0.945339
0.902025;0.946071
0.912329;0.948031
0.9229;0.951945
0.933194;0.958396
0.943498;0.966969
0.953792;0.97647
0.964364;0.985935
0.974668;0.993075
0.984964;0.997524
0.995265;0.999594
1.00584;1.0
